"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.019723, 1, 0.019723, h0='4', h1='2', x0='11.910570416599512', x1='0.8790130495098233', x2='15.84604375064373', x3='0.49179269652813673'
6.726017, 10.506734, 6.828589, 1, 0.102571, h0='4', h1='2', x0='11.910570416599512', x1='0.8790130495098233', x2='15.84604375064373', x3='0.49179269652813673'
10.887790, 9.258307, 11.077524, 2, 0.189734, h0='4', h1='1', x0='9.576177716255188', x1='0.030335247330479324', x2='61.1400580406189', x3='0.16119906306266785'
19.485029, 1.885169, 19.838648, 3, 0.353619, h0='5', h1='0', x0='6.308236837387085', x1='0.4747744273608923', x2='34.013362407684326', x3='0.26822635531425476'
50.741939, 1.639437, 51.603818, 4, 0.861880, h0='3', h1='0', x0='13.28675103187561', x1='0.3377512161743641', x2='21.04384744167328', x3='0.09832297265529633'
95.601949, 1.104590, 97.325326, 5, 1.723377, h0='3', h1='2', x0='10.46558427810669', x1='0.26978835525572303', x2='63.49688768386841', x3='0.4254792332649231'
171.734320, 0.523664, 203.615408, 6, 31.881088, h0='5', h1='2', x0='10.959628719127483', x1='0.26714859111568073', x2='63.587223487940854', x3='0.4958506180423613'
350.870259, 0.523308, 497.856119, 7, 146.985860, h0='5', h1='2', x0='10.96092716165254', x1='0.26720254920130365', x2='63.63254983670966', x3='0.4958506180423613'
355.671301, 0.423139, 506.713132, 8, 151.041830, h0='4', h1='2', x0='10.99239143696052', x1='0.3352055152766633', x2='63.63207679047413', x3='0.4958506180423613'
372.064066, 0.421298, 531.531880, 9, 159.467813, h0='4', h1='2', x0='10.986406219952636', x1='0.33843329353404134', x2='63.52517855930358', x3='0.49600073021698937'
375.693726, 0.385499, 539.694812, 10, 164.001086, h0='4', h1='2', x0='10.977604069720012', x1='0.3428358800877781', x2='63.42365796180699', x3='0.4958506180423613'
460.707000, 0.311209, 682.433041, 11, 221.726041, h0='4', h1='2', x0='9.340059382396717', x1='0.3428358800877781', x2='63.63907251817831', x3='0.4958506180423613'
486.774133, 0.277289, 730.904393, 12, 244.130260, h0='4', h1='2', x0='9.471337384022736', x1='0.3428358800877781', x2='63.4345783488995', x3='0.49840504680625747'
