"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.015878, 1, 0.015878, h0='5', h1='1', x0='11.67979233711958', x1='0.711917103545256', x2='36.104237981140614', x3='0.03554581152275205'
4.929252, 1.387355, 5.030234, 1, 0.100982, h0='5', h1='1', x0='11.67979233711958', x1='0.711917103545256', x2='36.104237981140614', x3='0.03554581152275205'
255.355339, 1.383682, 302.017397, 2, 46.662058, h0='5', h1='1', x0='11.260274941168415', x1='0.7083359914246312', x2='36.2291458668941', x3='0.03912208600338043'
282.112990, 1.034945, 336.850757, 3, 54.737767, h0='3', h1='1', x0='9.45223798932864', x1='0.704363957397538', x2='36.297501898172335', x3='0.038418813434694124'
292.306270, 1.014210, 354.320628, 4, 62.014358, h0='3', h1='1', x0='9.482654594929528', x1='0.7041840521298605', x2='36.29335107483196', x3='0.039182496685860234'
348.811573, 0.685358, 442.429316, 5, 93.617743, h0='5', h1='1', x0='9.410332041310367', x1='0.7046887416678312', x2='36.496128303574054', x3='0.07236413177034534'
359.129827, 0.508452, 457.843570, 6, 98.713743, h0='4', h1='1', x0='9.477818094102393', x1='0.7057392007144038', x2='36.527542531651946', x3='0.09053987889730458'
392.932688, 0.301874, 514.814265, 7, 121.881576, h0='4', h1='1', x0='9.02900448104601', x1='0.7245823027586653', x2='36.615592781859625', x3='0.09217155648593249'
403.566391, 0.126590, 533.619023, 8, 130.052631, h0='3', h1='1', x0='9.451241947078518', x1='0.767111735022147', x2='36.66736046173126', x3='0.08946252126221274'
429.951343, 0.112322, 573.117753, 9, 143.166410, h0='3', h1='1', x0='9.40819087093222', x1='0.7684366135048039', x2='36.649498397478105', x3='0.0915768614524605'
544.035895, 0.112125, 745.052145, 10, 201.016250, h0='3', h1='1', x0='9.616975037037726', x1='0.7682476879990097', x2='36.654069133904045', x3='0.09155495946681584'
548.181432, 0.112099, 752.220986, 11, 204.039554, h0='3', h1='1', x0='9.406381170482634', x1='0.7688822184385781', x2='36.654069133904045', x3='0.09155495946681584'
